,id,words,idf
5717,5717,nettoie,8.107834890697795
5716,5716,nettement,8.107834890697795
5711,5711,neo,8.107834890697795
5709,5709,neige,8.107834890697795
5708,5708,nehemiah,8.107834890697795
5707,5707,neboukadnetsar,8.107834890697795
5705,5705,nd,8.107834890697795
5704,5704,ncfic,8.107834890697795
5699,5699,naturelle,8.107834890697795
5671,5671,métaphysicien,8.107834890697795
5694,5694,nationaux,8.107834890697795
5693,5693,nationale,8.107834890697795
5690,5690,narration,8.107834890697795
5689,5689,napoléon,8.107834890697795
5688,5688,nan,8.107834890697795
5684,5684,naissant,8.107834890697795
5682,5682,na,8.107834890697795
5681,5681,mûs,8.107834890697795
5677,5677,métier,8.107834890697795
5675,5675,méthodiste,8.107834890697795
5846,5846,objecter,8.107834890697795
5848,5848,objecteur,8.107834890697795
5852,5852,objectivement,8.107834890697795
6005,6005,originis,8.107834890697795
6025,6025,outragé,8.107834890697795
6024,6024,outlined,8.107834890697795
